Type,Name,HEX,RGB,R,G,B
Standard,Tree Ancient,#5A3A22,"90, 58, 34",90,58,34
Standard,Dryad Brown,#6A4A2C,"106, 74, 44",106,74,44
Standard,Fur Brown,#905830,"144, 88, 48",144,88,48
Standard,Ruddy Umber,#AA7048,"170, 112, 72",170,112,72
Standard,Buffed Hide,#C08A60,"192, 138, 96",192,138,96
Standard,Basilisk Red,#701C18,"112, 28, 24",112,28,24
Standard,Wyvern Fury,#8A1E1E,"138, 30, 30",138,30,30
Standard,Dragon Red,#A42022,"164, 32, 34",164,32,34
Standard,Pure Red,#D43030,"212, 48, 48",212,48,48
Standard,Blood Chalice,#BC4848,"188, 72, 72",188,72,72
Standard,Raging Rose,#DC6A6A,"220, 106, 106",220,106,106
Standard,Wicked Pink,#CC5878,"204, 88, 120",204,88,120
Standard,Impish Rouge,#D87890,"216, 120, 144",216,120,144
Standard,Pixie Pink,#E290A0,"226, 144, 160",226,144,160
Standard,Wired Elixir,#E098B0,"224, 152, 176",224,152,176
Standard,Pink Potion,#F0B8CC,"240, 184, 204",240,184,204
Standard,Doomfire Drab,#6C4C5A,"108, 76, 90",108,76,90
Standard,Terrestial Titan,#3C3048,"60, 48, 72",60,48,72
Standard,Alien Purple,#5C3C78,"92, 60, 120",92,60,120
Standard,Cultist Purple,#583E70,"88, 62, 112",88,62,112
Standard,Hexed Violet,#6C5082,"108, 80, 130",108,80,130
Standard,Violet Coven,#7C6498,"124, 100, 152",124,100,152
Standard,Kraken Lavender,#A290B8,"162, 144, 184",162,144,184
Standard,Diabolic Plum,#54305C,"84, 48, 92",84,48,92
Standard,Magecast Magenta,#7C4070,"124, 64, 112",124,64,112
Standard,Warlock Magenta,#B85A88,"184, 90, 136",184,90,136
Standard,Spellbound Fuchsia,#A04880,"160, 72, 128",160,72,128
Standard,Enchanted Pink,#CC70AA,"204, 112, 170",204,112,170
Standard,Diviner Light,#DC98C6,"220, 152, 198",220,152,198
Standard,Mulled Berry,#4E303C,"78, 48, 60",78,48,60
Standard,Moldy Wine,#5C3A48,"92, 58, 72",92,58,72
Standard,Elder Flower,#644858,"100, 72, 88",100,72,88
Standard,Forbidden Fruit,#745668,"116, 86, 104",116,86,104
Standard,Figgy Pink,#8C7080,"140, 112, 128",140,112,128
Standard,Wilted Rose,#A08894,"160, 136, 148",160,136,148
Standard,Moonstone Skin,#E4C8B0,"228, 200, 176",228,200,176
Standard,Agate Skin,#ECD4C0,"236, 212, 192",236,212,192
Standard,Barbarian Flesh,#E4A87E,"228, 168, 126",228,168,126
Standard,Ruby Skin,#E4C0B0,"228, 192, 176",228,192,176
Standard,Opal Skin,#F4DCD0,"244, 220, 208",244,220,208
Standard,Pearl Skin,#F8E6DC,"248, 230, 220",248,230,220
Standard,Carnelian Skin,#C49080,"196, 144, 128",196,144,128
Standard,Tiger's Eye Skin,#CCAAA0,"204, 170, 160",204,170,160
Standard,Topaz Skin,#D4B8A0,"212, 184, 160",212,184,160
Standard,Jasper Skin,#DCBEAC,"220, 190, 172",220,190,172
Standard,Tourmaline Skin,#E8D0C0,"232, 208, 192",232,208,192
Standard,Leopard Stone Skin,#D8A88A,"216, 168, 138",216,168,138
Standard,Obsidian Skin,#5C4030,"92, 64, 48",92,64,48
Standard,Onyx Skin,#6C5048,"108, 80, 72",108,80,72
Standard,Mocca Skin,#7C6058,"124, 96, 88",124,96,88
Standard,Amber Skin,#8C7068,"140, 112, 104",140,112,104
Standard,Dorado Skin,#9C8078,"156, 128, 120",156,128,120
Standard,Quartz Skin,#AC9090,"172, 144, 144",172,144,144
Standard,Disgusting Slime,#8ACC30,"138, 204, 48",138,204,48
Standard,Dry Blood,#601010,"96, 16, 16",96,16,16
Standard,True Blood,#901014,"144, 16, 20",144,16,20
Standard,Dark Rust,#704028,"112, 64, 40",112,64,40
Standard,Fresh Rust,#B05020,"176, 80, 32",176,80,32
Standard,Verdigris,#40A088,"64, 160, 136",64,160,136
Standard,Oil Stains,#202020,"32, 32, 32",32,32,32
Standard,Oozing Vomit,#A0A038,"160, 160, 56",160,160,56
Standard,Plasma Coil Glow,#40C0F0,"64, 192, 240",64,192,240
Standard,Data System Glow,#40F080,"64, 240, 128",64,240,128
Standard,Lens Flare Glow,#F05090,"240, 80, 144",240,80,144
Standard,Radiation Glow,#80F020,"128, 240, 32",128,240,32
Standard,Power Nade Glow,#8050F0,"128, 80, 240",128,80,240
Metallic,Rough Iron,#3C3C42,"60, 60, 66",60,60,66
Metallic,Red Copper,#A05848,"160, 88, 72",160,88,72
Metallic,Weapon Bronze,#7C5A38,"124, 90, 56",124,90,56
Metallic,True Copper,#B06050,"176, 96, 80",176,96,80
Metallic,Evil Chrome,#C0C0C0,"192, 192, 192",192,192,192
Metallic,True Brass,#A08050,"160, 128, 80",160,128,80
Metallic,Tainted Gold,#8A6840,"138, 104, 64",138,104,64
Metallic,Greedy Gold,#C0A050,"192, 160, 80",192,160,80
Metallic,Bright Gold,#D0B858,"208, 184, 88",208,184,88
Metallic,Mithril,#E0E0E0,"224, 224, 224",224,224,224
Metallic,Shining Silver,#C8C8C8,"200, 200, 200",200,200,200
Metallic,Plate Mail,#989898,"152, 152, 152",152,152,152
Metallic,Gun Metal,#505050,"80, 80, 80",80,80,80
Metallic,Cobalt Metal,#4860A0,"72, 96, 160",72,96,160
Metallic,Death Metal,#2C2C30,"44, 44, 48",44,44,48
Metallic,Dark Emerald,#306850,"48, 104, 80",48,104,80
Metallic,Glittering Green,#40A868,"64, 168, 104",64,168,104
Metallic,Gemstone Red,#A83030,"168, 48, 48",168,48,48
Washes,Dark Tone,#382818,"56, 40, 24",56,40,24
Washes,Strong Tone,#4C3618,"76, 54, 24",76,54,24
Washes,Soft Tone,#5C4220,"92, 66, 32",92,66,32
Washes,Light Tone,#6C5228,"108, 82, 40",108,82,40
Washes,Sepia Tone,#705030,"112, 80, 48",112,80,48
Washes,Rust Tone,#7C4828,"124, 72, 40",124,72,40
Washes,Dar Red Tone,#602020,"96, 32, 32",96,32,32
Washes,Red Tone,#782020,"120, 32, 32",120,32,32
Washes,Orange Tone,#8C4020,"140, 64, 32",140,64,32
Washes,Green Tone,#204020,"32, 64, 32",32,64,32
Washes,Military Shade,#405C38,"64, 92, 56",64,92,56
Washes,Blue Tone,#184060,"24, 64, 96",24,64,96
Washes,Dark Blue Tone,#102850,"16, 40, 80",16,40,80
Washes,Purple Tone,#402860,"64, 40, 96",64,40,96
Washes,Magenta Tone,#603850,"96, 56, 80",96,56,80
Washes,Strong Skin Shade,#604840,"96, 72, 64",96,72,64
Washes,Dark Skin Shade,#504030,"80, 64, 48",80,64,48
